uid,offence,date,jail,mode,conditions,fine,appeal
2024mbpc96_1_a,cdsa_5(2),2022-06-23,
2024mbpc96_1_b,cdsa_5(2),2022-06-23,
2024mbpc96_2_a,cdsa_5(2),2022-06-23,
2024mbpc96_2_b,cdsa_5(2),2022-06-23,
2024mbpc96_3_a,cdsa_5(2),2022-06-23,
2024mbpc96_3_b,cdsa_5(2),2022-06-23,
2024mbpc96_4_a,cdsa_5(2),2022-06-23,
2024mbpc96_4_b,cdsa_5(2),2022-06-23,
2024mbpc96_5_a,cdsa_5(2),2022-06-23,
2024mbpc96_5_b,cdsa_5(2),2022-06-23,
2024mbpc96_6_a,cc_355(a),2022-06-23,
2024mbpc96_6_b,cc_355(a),2022-06-23,
2024mbpc96_7_a,cc_95,2022-06-23,
2024mbpc96_7_b,cc_95,2022-06-23,
2024mbpc96_8_a,cc_95,2022-06-23,
2024mbpc96_8_b,cc_95,2022-06-23,
2024mbpc96_9_a,cc_95,2022-06-23,
2024mbpc96_9_b,cc_95,2022-06-23,
2024mbpc96_10_a,cc_95,2022-06-23,
2024mbpc96_10_b,cc_95,2022-06-23,
2024mbpc96_11_a,cc_92(2),2022-06-23,
2024mbpc96_11_b,cc_92(2),2022-06-23,
2024mbpc96_12_a,cc_117.01,2022-06-23,
2024mbpc96_12_b,cc_117.01,2022-06-23,
2024mbpc96_13_a,cc_145(5),2022-06-23,
2024mbpc96_13_b,cc_145(5),2022-06-23,
2024mbpc96_14_a,cc_145(5),2022-06-23,
2024mbpc93_1,cc_239(1)(b),2023-03-18,1679d,jail-consecutive,3y-probation,,
2024mbpc68_1,cc_286.3(2),2021-07-01&2021-09-07,5y,jail-consecutive,,,
2024mbpc68_2,cc_163.1(3),2021-07-01&2021-09-07,1y,jail-consecutive,,,
2024mbpc68_3,cc_172.1,2021-07-01&2021-09-07,2y,jail-concurrent,,,
2024mbpc77_1,cc_348(1)(d),2022-07-16,5y,jail-consecutive,,,
2024mbpc77_2,cc_117.01,2022-07-16,1y,jail-concurrent,,,
2024mbpc77_3,cc_320.18,2022-07-16,6m,jail-concurrent,,,
2024mbpc77_4,cc_320.17,2022-07-22,1y,jail-consecutive,,,
2024mbpc77_5,cc_320.18,2022-07-22,6m,jail-concurrent,,,
2024mbpc77_6,cc_129,2022-07-27,1y,jail-consecutive,,,
2024mbpc84_1,cc_236(b),2023-11-11,3y,jail-consecutive,,,
2024mbpc84_2,cc_344(1)(b),2023-11-11,24m,jail-concurrent,,,
2024mbpc84_3,cc_91(2)_ycja,2023-11-26,9m,jail-concurrent,,,
2024mbpc82_1,cc_271#a,2005-01-01&2006-12-31,2y,jail-consecutive,,,
2024mbpc82_2,cc_271#a,2008-01-01&2008-06-18,2y,jail-consecutive,,,
